timestamp,datetime,face_id,emotion,emotion_intensity,au1,au4,au6,au12,au15,bbox_width,bbox_height
1761901817.2533305,2025-10-31T18:10:17.253330,0,Neutral,0.7098677551743977,0.0,0.607777058436848,0.0,0.1142081186559918,0.11648459431439195,153,153
1761901817.5923102,2025-10-31T18:10:17.592310,0,Neutral,0.5787556644917571,0.0,0.5569460380026847,0.27311119627474983,0.10459548575776033,0.253715254189429,158,157
1761901817.9253135,2025-10-31T18:10:17.925313,0,Neutral,0.6506191544203622,0.0,0.3596360131347309,0.0,0.18184932423106917,0.26435463066841325,152,153
1761901818.2662032,2025-10-31T18:10:18.266203,0,Neutral,0.6988685818842297,0.0,1.0,0.0,0.06845089171824698,0.0064315878259948445,155,155
1761901818.624493,2025-10-31T18:10:18.624493,0,Happy,0.4169904661286971,0.0,1.0,0.11048047334904137,0.5957006658981387,0.0,157,157
1761901818.9394507,2025-10-31T18:10:18.939451,0,Happy,0.6576506072324804,0.0,0.5754749987082686,0.0,0.939500867474972,0.0,155,155
1761901819.2570844,2025-10-31T18:10:19.257084,0,Happy,0.20105101524992586,0.0,1.0,0.0,0.28721573607132267,0.10110001746015418,148,148
1761901819.6054192,2025-10-31T18:10:19.605419,0,Neutral,0.5833565714392949,0.4443114235503576,0.0,0.5562072917073171,0.0,0.2774067703218412,149,150
1761901819.9263701,2025-10-31T18:10:19.926370,0,Neutral,0.5873018409042781,0.18709700684664154,0.08001390254498753,0.5861059660968142,0.03690887056551553,0.4220603197416336,145,145
1761901820.2684746,2025-10-31T18:10:20.268475,0,Neutral,0.5432869079334868,0.3147552418039379,0.0,0.7087292843200309,0.10591272974080512,0.1825331710019119,149,149
1761901820.600029,2025-10-31T18:10:20.600029,0,Neutral,0.49033999931862826,0.259991524079925,0.0,0.8514177810272178,0.24622651459358344,0.03375645027543349,147,147
1761901820.934208,2025-10-31T18:10:20.934208,0,Sad,0.4252658336142547,0.27806056615606645,0.0,0.5934531793188162,0.0,0.7115013841504761,143,143
1761901821.2607844,2025-10-31T18:10:21.260784,0,Sad,0.4522525558213182,0.3024531163937355,0.0,1.0,0.0,0.7532785534457687,144,143
1761901821.5901332,2025-10-31T18:10:21.590133,0,Sad,0.31769549638313943,0.21018102585562415,0.003915948293299332,0.7418385948332785,0.0,0.5283425056918172,146,145
1761901821.925657,2025-10-31T18:10:21.925657,0,Neutral,0.4435403319684651,0.17159259469131716,0.060870255346738844,0.8558196513431275,0.0,0.5994275452571933,145,145
1761901822.2667792,2025-10-31T18:10:22.266779,0,Neutral,0.3967558827139508,0.17252041899199488,0.13024045083403601,0.8119109756196912,0.0,0.7193416492002839,146,147
1761901822.59728,2025-10-31T18:10:22.597280,0,Sad,0.4080877296508432,0.12988395193836821,0.1987949366992836,0.7962510113399752,0.0,0.8161754593016864,145,144
1761901822.9334857,2025-10-31T18:10:22.933486,0,Neutral,0.5738432395206219,0.30384826346975646,0.0,0.8962235135849811,0.0,0.1626552810728894,148,148
1761901823.2552187,2025-10-31T18:10:23.255219,0,Neutral,0.4809703890493817,0.43276454736433434,0.0,0.6914307072091788,0.24791055970574175,0.05974374030552365,151,151
1761901823.5892527,2025-10-31T18:10:23.589253,0,Neutral,0.3575173366536355,0.4429703966739301,0.0,0.7348943274567079,0.12306605330559957,0.4502510572538998,152,152
1761901823.9298866,2025-10-31T18:10:23.929887,0,Neutral,0.556092519269468,0.4001450672096363,0.0,0.5496110549417293,0.25569699635086307,0.0,169,169
1761901824.2611861,2025-10-31T18:10:24.261186,0,Neutral,0.47031322724837765,0.01816158414364555,0.36461644953055816,0.2699646368801828,0.33109542539692327,0.24247215098234065,185,179
1761901824.6029418,2025-10-31T18:10:24.602942,0,Neutral,0.46213320226947363,0.008521756533356739,0.3416719248839739,0.8914286658486821,0.2612711108879845,0.0,197,197
1761901825.029165,2025-10-31T18:10:25.029165,0,Happy,0.43345720715990266,0.4410860149599499,0.0,0.7407999382083003,0.3017388938534466,0.0,196,197
1761901825.3734,2025-10-31T18:10:25.373400,0,Neutral,0.6452514350542002,0.27709821720597105,0.0,0.2584257157084058,0.2970661370454075,0.0,160,160
1761901825.6881356,2025-10-31T18:10:25.688136,0,Neutral,0.35816672221606305,0.3148914284243115,0.0,0.010746618009288,0.8044434581112274,0.0,152,153
1761901826.0203214,2025-10-31T18:10:26.020321,0,Happy,0.7,0.11837338656744079,0.0,0.0,1.0,0.0,151,152
1761901826.3652265,2025-10-31T18:10:26.365227,0,Neutral,0.9968528756916967,0.09483716907795314,0.05028017656736106,0.1590604845468349,0.004495891869004787,0.0,157,157
1761901826.6951907,2025-10-31T18:10:26.695191,0,Neutral,0.726001518840875,0.29983984866535973,0.0,0.05033319392117014,0.0,0.39807703798557015,158,158
1761901827.0381563,2025-10-31T18:10:27.038156,0,Neutral,0.62572344005865,0.11172884224283974,0.06930099296624026,0.0,0.0,0.7485531198827001,153,154
1761901827.3661299,2025-10-31T18:10:27.366130,0,Neutral,0.655840702965533,0.19306708864536837,0.0,0.14462676398802277,0.0,0.688318594068934,164,165
1761901827.6924345,2025-10-31T18:10:27.692435,0,Neutral,0.47906011172818586,0.29514358753442105,0.0,0.4769977945255227,0.0,0.608109306061104,162,162
1761901828.0216413,2025-10-31T18:10:28.021641,0,Neutral,0.687068207007534,0.2516787320182623,0.0,0.23570988482443933,0.0,0.3585982890811372,164,165
1761901828.3576581,2025-10-31T18:10:28.357658,0,Sad,0.43617125184078953,0.18143508496950622,0.0,0.48051445779170837,0.0,0.8723425036815791,146,147
1761901828.6967967,2025-10-31T18:10:28.696797,0,Neutral,0.6865386848574144,0.1288114150171571,0.051585474024024025,0.19149762142518012,0.0,0.6269226302851711,145,145
1761901829.0287232,2025-10-31T18:10:29.028723,0,Neutral,0.5377006544807481,0.21104737874611812,0.0,0.23877880313315558,0.0,0.6758077197855512,147,148
1761901829.3740203,2025-10-31T18:10:29.374020,0,Neutral,0.5525440817144007,0.13154059036262378,0.09878392535390024,0.5335512427572936,0.0,0.5747810909168224,151,151
1761901829.687671,2025-10-31T18:10:29.687671,0,Neutral,0.462250162457972,0.12133215739647207,0.07147948619665945,0.9519980724879206,0.3602148797080741,0.0,135,135
1761901830.0211132,2025-10-31T18:10:30.021113,0,Happy,0.5992789514594767,0.0350982882869838,0.26865139267808424,0.9825115049412937,0.4350364285386982,0.0,130,131
1761901830.3616548,2025-10-31T18:10:30.361655,0,Happy,0.7067074500266091,0.07613693658143128,0.1392537237398883,1.0,0.5810106428951558,0.0,141,141
1761901830.692689,2025-10-31T18:10:30.692689,0,Neutral,0.5357629658685781,0.00280014473892809,0.29700710765674043,0.32508900551417613,0.0,0.583517038756504,149,148
1761901831.039624,2025-10-31T18:10:31.039624,0,Neutral,0.5939444785541514,0.1146953559409214,0.0823526352535564,0.09536407014430398,0.0,0.8121110428916971,153,153
1761901831.3677375,2025-10-31T18:10:31.367738,0,Happy,0.5414120555667525,0.0,0.622126826233893,1.0,0.3448743650953608,0.0,151,151
1761901831.6840582,2025-10-31T18:10:31.684058,0,Happy,0.6059512865741179,0.0,0.5839148089328949,1.0,0.4370732665344542,0.0,145,145
1761901832.0276897,2025-10-31T18:10:32.027690,0,Happy,0.5657912530975135,0.0,0.6263724339262711,1.0,0.3797017901393051,0.0,152,152
1761901832.3595533,2025-10-31T18:10:32.359553,0,Neutral,0.8087053116854881,0.0,0.6187188669394406,0.18256614463323384,0.0342152636835524,0.02532857400233013,160,160
1761901832.693609,2025-10-31T18:10:32.693609,0,Neutral,0.5658611060187445,0.0,0.3755659988207738,0.0,0.4860677061086601,0.0,161,161
1761901833.031565,2025-10-31T18:10:33.031565,0,Neutral,0.7553194074720628,0.13436707391456082,0.024267182758961336,0.08871484766754673,0.34954370361133874,0.0,152,152
1761901833.36403,2025-10-31T18:10:33.364030,0,Neutral,0.7530636704559195,0.1470728551728745,0.0,0.0,0.3527661850629722,0.0,160,160
1761901833.6937852,2025-10-31T18:10:33.693785,0,Neutral,0.8341555742413241,0.023377088836471493,0.2615906180458305,0.0,0.1351464271972862,0.0,146,147
1761901834.0240724,2025-10-31T18:10:34.024072,0,Neutral,0.9167343062327756,0.1478686217298314,0.0,0.0,0.11895099109603485,0.0,152,152
1761901834.3560212,2025-10-31T18:10:34.356021,0,Neutral,0.8650924946732071,0.25349821571328757,0.0,0.0,0.10218993056924419,0.0,150,151
1761901834.696602,2025-10-31T18:10:34.696602,0,Neutral,0.8961470629790457,0.3299853745588355,0.0,0.0,0.030509419116064918,0.0,148,148
1761901835.0290062,2025-10-31T18:10:35.029006,0,Neutral,0.8679083115321831,0.22631136354690162,0.0,0.0,0.10787692511584505,0.0,151,150
1761901835.3680217,2025-10-31T18:10:35.368022,0,Neutral,0.887441793129727,0.38763837386342204,0.0,0.03627871926599219,0.022355162006310648,0.0,148,148
